,name,phones,address1,city,state,zip_code,websites
880,Blowing Rock Brewing Co.,8284149600,129 Greenway Ct,Blowing Rock,NC,28605,blowingrockbrewing.com
921,Blue Ridge Brewing Company,8642324677,217 N Main St,Greenville,SC,29601,blueridgebrewing.com
974,"Bombshell Beer Co, Bombshell Beer Company",9198231933,120 Quantum St,Holly Springs,NC,27540,http://www.bombshellbeer.com
989,Boojum Brewery Taproom,8282460350,50 Main St,Waynesville,NC,28786,boojumbrewing.com
998,Boondocks Brewing Tap Room & Restaurant,"3362465222, (336) 246-5222",108 S Jefferson Ave,W Jefferson,NC,28694,boondocksbrew.com
1296,"Brown Mountain Bottle Works, Llc","8284132678, 8284376505",115 E Union St,Morganton,NC,28655,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJg1TX68jt2QCh9Dx6P_4SPsJPQ1T4lphoKevMAAJ_VaSbhNC_yIZkFh4oMBBD-eXgrghQhmHLyRPTSojNx9KI7kf-2JtRTmmgYzI7IOCm-FnrcMzjLma5UKILwqJuCwMC0UDqCaiB-vWkNDbSgYJkHUyiYRgQi1LWMJeIcwcYw2le7BqX1ovM3RId6D0HyWe1wzn5BialvMV_EI13CW42LPFuOVrAkaLMUvRV2Ttimidlpc7cQyiCzzHGnPi8Y-vZGhTd2e4QYACKJTYAmqc3RX-DIjSB7mtsoyuWYUgS7CeSS79VQKNg1DCvK79194gtNZ_Few9NqFBd6ZWfudabDC1zegpiWg3cgPsPqIt5C9x_GZN6bA6JOc9iBo7AY_P8&placement=listing_profile&cs_user=unknown&cs_session=f1eb63e3192078258398f09eb838a2b9a34589f8
1345,Bull City Burger and Brewery,9196802333,107 E Parrish St,Durham,NC,27701,http://www.bullcityburgerandbrewery.com
1346,Bull City Ciderworks,13367493074,113 S Elizabeth St,Durham,NC,27701,bullcityciderworks.com
1361,"Burial Beer Co., Burial Beer Co","18284752739, 8284752739",40 Collier Ave,Asheville,NC,28801,burialbeer.com
1487,Carolina Bauernhaus Ales,"8644018167, 8642221900",115 Federal St,Anderson,SC,29625,https://carolinabauernhaus.com
1488,Carolina Brewery,9199421800,460 W Franklin St,Chapelhill,NC,27516,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJrKzAiQwfUjqx5t5TwNqL4xko6BVpBDPe1lo6vTmL3_YHIfolzxzcd0pEctVhG-ESTc5JRFtBx4mbl6sYf2yoyPyetfHLKIJV2poAceR0B6uwFKbdTfRZlAUUeKR7EmvY2NEsaw7Ess-bE1K95lyKnfRcBRGR0XZoVYa4NPyRIAVCvY8zZCMvDUDBZTmwDaCCbQCcbuqqVAqVwbdEVclXVnFuObThyt_vYGh-pxFztYaBZ4hhaz-hKq4AVoqzyDKrO2XkF6WvRn1CNxCPbAUjna5RV8mI3xA5erWGGt-_tTnXbl2kHbsCtL7lkSug9jV8PdApeNNCwfNSo4Fw8NviwVJkpzOlBuyxsxBwghnQ0gs&placement=listing_profile&cs_user=unknown&cs_session=3fe3ab5aeb2523fb0ff00b21994f06c2ea5ee761
1490,Carolina Winery,9102894311,342 Yellowcut Rd,Rosehill,NC,28458,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ_DQufbfz1t_dklFttO0oM_YoC0j8cIYosWvls37cGXACi6mkf73k8Ib33BNm5cS9_5xJtVuu5qQtC_7xtyNtANenj-EOGgE3hvYOm4EHwuExI_hHL9NkAJg6uo8K0A0Yvc6O0HYP5j1g49utGP9v68e3_KexxjiszBf55qsRCtfQo9l64MLWy_jGO0e4iiLRm8qQN4d7hPA07S3Z2onkjNqMezcEi3_XtOURbW8AL4SGSL6UojkMnLmN7C79N9OfbDv2iwMO99HB_x_l0c7wjeslGBshefGgFveuGS0jPr3Qpw4AoyUOqV_G3cpHn8wwk_3tVxR6RID_XOaae7JT0s1-s2Vt-5jMOhigYS2zOlk&placement=listing_profile&cs_user=unknown&cs_session=2138e38811764983463e3faa60dae8ecceaa6803
1705,Club 100,"8643739687, 8646769906, 8642361339, 8646769905, 8643201839, 8645202217, (864) 236-1339",100 Byrdland Dr,Greenville,SC,29607,http://www.facebook.com/pages/CLUB-100/113069410862
1720,Coast Brewing Company,8433434727,1250 N 2nd St,N Charleston,SC,29405,http://www.coastbrewing.com
1797,Compass Rose Brewery,9198755683,3201 Northside Dr,Raleigh,NC,27615,compassrosebrewery.com
1988,Cuzz's Tavern,3364370046,1532 N Graham Hopedale Rd,Burlington,NC,"27217, 27217-1820",http://www.macstavern.net
2227,Draft Line Brewing,"9195577121, 19195577121",341 Broad St,Fuquay-varina,NC,27526,draftlinebrewing.com
2612,Flytrap Brewing,9107692881,319 Walnut St,Wilmington,NC,28401,flytrapbrewing.com
2724,Frog Level,8284545664,56 Commerce St,Waynesville,NC,28786,http://www.froglevelbrewing.com
2735,Frothy Beard Brewing Company,8437932970,7358 Peppermill Pkwy,N Charleston,SC,29418,http://www.frothybeard.com
2841,"Gibb's Hundred Brewing Company, Gibb's Hundred Brewing Co",336763–7087,117 W Lewis St,Greensboro,NC,27406,http://gibbshundred.com
2971,Granite Falls Brewing Co,8282121222,47 Duke St,Granitefalls,NC,28630,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJKZknu_qJxh1dtUZOCHFCHqnh_0dnrW3TE6l0RFi76uCXAay1RHJIFJVEoHC_lRlc_-RWTHLbtZfpOPaSoplaKfpB827yk0F8ixX1YIGzkVXqDhs26rToCRIltNjGUkL9LQl9uilzp0YUekVL1s0yCUU95Qd2z8UpZT9ZjnRsVYOu510CpFonuR6NsjZK6IoM5MI1m3OFSJ5cJrqZmVIA62B-7wrWulfH8I_Lx6Ob08vzDWTwhptrP4vX-NoJh0Ehsg-HqwklRwx6gYsUVmBdQ0aalpSqOhSpV51hvbzDci4Ri27mmuAJWKFqC3w_lreFmxhlmQqhXylCpLlmX6yEJxwuP7WOyGXV9DjGVqV_CWuidz4fiYFn6A&placement=listing_profile&cs_user=unknown&cs_session=a392aeab0c10693ce93a8c6e08fcedf3e4e31a95
3061,Growler Haus,8642250057,313 N Main St,Anderson,SC,29621,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJavM5j17IUHchxmUfiN8Z_O_33JEJrW-jaooxbBDT-SAq9c5J5PeQ5xT0h1iCNuq5Om50MJaxR9nsNuTNSh2J2DmN4VRHHD3N7xGy7sGRp4BoQHkXZy5LMwkL06FNr_S12s9MdkCmzPA_zp4K8adB8PBQiv_Dkl7sg_llhRg-d8xg4Fsh4NXDpHKRx2HHrBHz_lwIrRtbiZjEaSSbcDkG8q8ol0X5MlQQMrGIyJ3j1t5UMfM0LMa2rqWIF3tmK5MvRZE2vxX3U0rp8_1Z4T3jA2qt-z8BETz6GBpxPXxcOWDAET6EXVWDuvsS3dCX3ew2FWVwgMxFvy2hoSt2SluoaglKs58_M9_pv61fiPLbi5c&placement=listing_profile&cs_user=unknown&cs_session=690fa7cbeb07037b15e02fbd710328748e4cf1f0
3186,Heist Brewery,7043758260,2909 N Davidson St,Charlotte,NC,28205,http://www.heistbrewery.com
3256,Highlander A British Pub,8032782796,133 Georgia Ave,N Augusta,SC,"29841, 29841-3844",http://www.abritishpub.com
3286,Hi-wire Brewing,8285759675,197 Hilliard Ave,Asheville,NC,28801,hiwirebrewing.com
3303,Holy City Brewing,8432256089,4155 C Dorchester Rd,N Charleston,SC,29405,http://www.holycitybrewing.com/
3422,Hunter-gatherer Brewery & Ale House,8037480540,900 Main Saint (at College St),Columbia,SC,29201,http://huntergathererbrewery.com
3429,Huske Hardware House,9104379905,405 Hay St,Fayetteville,NC,28301,http://www.huskehardware.com
3589,Jay's At The Lake,7048927460,18200 Statesville Rd,Cornelius,NC,28031-9181,http://www.jaysatthelake.com
3592,Jc's Kitchen,9196806227,706 E Main St,Durham,NC,27701,jcskitchens.com
3890,Lake James Cellars,8285844551,204 E Main St,Glenalpine,NC,28628,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJgnd6SCDHo6tGYUxWda-7RNtl8FuY2HMlq7ES5PZUmNpVYR0EvxnrJVkaoX0gdqllqXIGH2ZH9op_Lyc6lliYDx6qooSOv6ak9vtQhEiXobcw1TI7sXq05YiEsboxLdKTDwlkIvAdWEgos-fTKkklBJA-5QrRevRc7THp9gjLe2hTZ2FICilOjzFg2AKVjiQBWYGs-KuVOK0o44U5drQdeXd46Cp4cHw9N71w5ik4eoX6cnAaibi1G0nXj7Yhicp1cE4A2SKClEKWU-NT9U1Fowf_OW0fv-cAPFAZDHExpXm16200RmdRLnIEwGlrtxk6M2iYNEDV6E8GDdWkSLAFHfdqSgINgcc1JfsN5vxAyew&placement=listing_profile&cs_user=unknown&cs_session=0f0c953ace141111c2558b1643c53f501869cd01
3997,Lexington Avenue Brewery,8282520212,39 N Lexington Ave,Asheville,NC,28801,lexavebrew.com
4000,Liberty Brewery & Grill,8436264677,1321 Celebrity Cir,Myrtle Beach,SC,29577,http://libertysteakhouseandbrewery.com
4005,Liberty Taproom & Grill,8438394677,7651 N Kings Hwy,Myrtle Beach,SC,29572,http://libertytaproom.com
4110,Lost Province Brewing Company,8282653506,130 N Depot St,Boone,NC,28607,lostprovince.com
4160,Lynnwood Grill,9197850043,4821 Grove Barton Rd,Raleigh,NC,27613,http://www.lynnwoodgrill.com
4552,Mother Earth Brewing,2522082437,311 N Herritage St,Kinston,NC,28501,http://www.motherearthbrewing.com
4625,Mystery Brewing Company,9196978379,437 Dimmocks Mill Rd,Hillsborough,NC,27278,http://www.mysterybrewing.com
4639,Nantahala Brewing Company,8284882337,61 Depot St,Bryson City,NC,28713,http://www.nantahalabrewing.com
4721,Nickelpoint Brewing Co,9199165961,506 Pershing Rd,Raleigh,NC,27608,nickelpoint.com
4742,Noble Cider,8285759622,356 New Leicester Hwy,Asheville,NC,28806,noblecider.com
4926,Olde Hickory Brewery,8283221422,222 Union Sq N W,Hickory,NC,28602,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4xyJcnRwQhRyD0vJCXuXoTciFVP-aO1mk-aCcYvNCic_1mGPatrdT70bWg3TykWemA9DGoe0O_7ahnbsnRtmw0AzR0dhPBErK2Y0ZQi_CGRyIF-9m9Kou8t9DB9tSOER4QeDT4EZqiqsA8gjIi5Iq65-WhcqsRdVP7Cr54euQ8gLT3WRona1E2uLbena79RbuRB8gpg17UV4F-ZwubBu97VQJjaIy9ka_MmHvULwANFVonzy2ZH4AVNpjhr1MvKfj9TTyecJhxYAtfI2fFtB5u7BxV-2x5XtOzRYMMOL282KrUc-SEjb1lqA4ozISKwn1XyfXxcHWX15-efAAv-Hwm4IDj6wNrBtajmbXqBHDubSZ36QMTWCvDw&placement=listing_profile.c&cs_user=unknown&cs_session=8cfb3a9726c8f7b5878f5061b61617f357fe8a09
4928,Olde Mecklenburg Brewery,7045255644,4150 Yancey Rd,Charlotte,NC,28217,http://oldemeckbrew.com
5015,Outer Banks Brewing Station,2524492739,600 S Croatan Hwy,Killdevilhills,NC,27948,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJJFSTv89GkvGey1ZLaoJwcebwV3VrULeukumcG5k63f-oQ6meRlzprHN_z6yf5SGnsbdg76PZhw7r1EO6XNIEwl9kRmt70RYf9OocICAscOWiQ-sPyVjh0I_bnIzHhNe5ugkLqdlKeSGcWo9i96FLAIPkFTL28k3OSTjLqoqq93oR_AfdL4Bbk_K4MSQmwpqGWhlLpq7a6JQaRShfiQv5sDqwBgsJFgl20Xs21v-r3-TLRvjVGfuUI02YSPT_9KNrA2UmjVn9uv07b4HSsI_2wlgaYdcTmPyy3TbGItD5-u_PXQdD5nSPY-P4FKIVvKtdE2OLiMzfkwaAwjtDp121kVdiHJRLQoeq&placement=listing_profile&cs_user=unknown&cs_session=1c0b2e3a46c1b54a0cff144dfe0ca5c8fe27d4e4
5190,Pig Pounder Brewery,"13365531290, 3365531290",1107 Grecade St,Greensboro,NC,27408,pigpounder.com
5266,Ponysaurus Brewing,9784827701,219 Hood St,Durham,NC,27701,http://ponysaurusbrewing.com
5318,Preyer Brewing Company,3362569450,600 Battleground Ave,Greensboro,NC,27401,preyerbrewing.com
5397,Quigley's Pint and Plate,8432377010,257 Willbrook Blvd,Pawleys Island,SC,29585,http://www.pintandplate.com
5407,R.h. Barringer Distributing Co.,"3368526450, 3368540555, 3368544199, 3366324750",1620 Fairfax Rd,Greensboro,NC,27407,http://www.rhbarringer.com
5417,Railhouse Brewery,9107835280,105 E South St,Aberdeen,NC,28315,railhousebrewery.com
5574,River Rat Brewery,8037245712,1231 Shop Rd,Columbia,SC,29201,http://riverratbrewery.com
5864,Seminar Brewing,8436659200,1945 W Palmetto St,Florence,SC,29501,seminarbrewingflorence.weebly.com
5944,Silver Coast Winery,9102872800,6680 Barbeque Rd N W,Ocean Isle Beach,NC,28469,http://www.silvercoastwinery.com
6085,Southend Brewery & Smokehouse,8438534677,161 E Bay Saint (at Queen St),Charleston,SC,29401,http://southendbrewery.com
6087,Southern Appalachian Brewery,8286841235,822 Locust St,Hendersonville,NC,28792,http://sabrewery.com
6198,Steel String Brewery,9192407215,106 S Greensboro St,Carrboro,NC,27510,http://steelstringbrewery.com
6359,Sycamore Brewing,7049103821,2161 Hawkins St,Charlotte,NC,28203,sycamorebrew.com
6531,The Cary Pub,9198591070,6454 Tryon Rd,Cary,NC,27518,http://thecarypub.com
6652,The Sly Fox Pub,"19107251621, 9107251627, (910) 725-1621, 9107251621",795 S W Broad St,Southern Pines,NC,28387,http://www.theslyfoxpub.com
6669,The Unknown Brewery,9802372628,1327 S Mint St,Charlotte,NC,28203,unknownbrewing.com
6697,Thirsty Monk Pub & Brewery,8282545470,92 Patton Ave,Asheville,NC,28801,monkpub.com
7125,Wedge Brewing Company,"(828) 505-2792, 8285052792",125 Roberts St,Asheville,NC,28801,wedgebrewing.com
7126,Weeping Radish Farm Brewery,"2524915207, 2524915205",6810 Caratoke Hwy,Grandy,NC,27947,weepingradish.com
7203,Wicked Weed Brewing,8285752890,91 Biltmore Ave,Asheville,NC,28801,http://www.wickedweedbrewing.com
7230,Wilmington Brewing Co,9103923315,824 S Kerr Ave,Wilmington,NC,28403,wilmingtonbeer.com
7283,Wooden Robot Brewery,"988197875, 19808197875",1440 S Tryon St,Charlotte,NC,28203,http://woodenrobotbrewery.com
